Signal-1,Signal-2,Signal-3
400.0,471.0,12838.0
401.0,470.0,12830.0
399.0,470.0,12846.0
400.0,470.0,12838.0
401.0,471.0,12830.0
400.0,471.0,12838.0
399.0,470.0,12846.0
400.0,471.0,12838.0
400.0,469.0,12838.0
400.0,469.0,12838.0
400.0,471.0,12838.0
400.0,470.0,12838.0
400.0,471.0,12838.0
400.0,471.0,12838.0
400.0,470.0,12838.0
401.0,471.0,12830.0
400.0,470.0,12838.0
400.0,471.0,12838.0
400.0,471.0,12838.0
399.0,471.0,12846.0
399.0,470.0,12846.0
402.0,471.0,12822.0
401.0,470.0,12830.0
400.0,470.0,12838.0
400.0,470.0,12838.0
400.0,470.0,12838.0
400.0,470.0,12838.0
400.0,470.0,12838.0
399.0,470.0,12846.0
399.0,471.0,12846.0
400.0,471.0,12838.0
399.0,470.0,12846.0
400.0,471.0,12838.0
399.0,471.0,12845.0
398.0,470.0,12853.0
401.0,472.0,12829.0
400.0,470.0,12837.0
399.0,472.0,12845.0
400.0,471.0,12837.0
399.0,470.0,12845.0
400.0,470.0,12837.0
399.0,469.0,12845.0
401.0,470.0,12829.0
400.0,469.0,12837.0
400.0,471.0,12837.0
400.0,471.0,12837.0
399.0,470.0,12845.0
400.0,471.0,12837.0
400.0,470.0,12837.0
400.0,471.0,12837.0
400.0,470.0,12837.0
400.0,470.0,12837.0
402.0,471.0,12821.0
400.0,470.0,12837.0
400.0,470.0,12837.0
401.0,470.0,12829.0
399.0,470.0,12845.0
399.0,470.0,12845.0
400.0,471.0,12837.0
402.0,470.0,12821.0
399.0,470.0,12845.0
402.0,470.0,12821.0
400.0,471.0,12837.0
399.0,471.0,12845.0
401.0,471.0,12829.0
399.0,471.0,12845.0
400.0,470.0,12837.0
400.0,470.0,12837.0
399.0,470.0,12845.0
402.0,471.0,12821.0
400.0,470.0,12837.0
400.0,471.0,12837.0
401.0,470.0,12830.0
400.0,471.0,12838.0
399.0,470.0,12845.0
399.0,471.0,12845.0
400.0,470.0,12837.0
401.0,470.0,12829.0
399.0,470.0,12845.0
400.0,471.0,12837.0
400.0,470.0,12837.0
399.0,471.0,12845.0
399.0,471.0,12845.0
400.0,471.0,12837.0
399.0,470.0,12845.0
400.0,470.0,12837.0
401.0,470.0,12829.0
400.0,471.0,12837.0
401.0,470.0,12829.0
401.0,471.0,12829.0
400.0,472.0,12837.0
400.0,470.0,12837.0
400.0,470.0,12837.0
399.0,471.0,12845.0
400.0,469.0,12837.0
400.0,471.0,12837.0
402.0,470.0,12821.0
399.0,470.0,12845.0
400.0,472.0,12837.0
400.0,470.0,12837.0
402.0,470.0,12822.0
399.0,472.0,12845.0
399.0,471.0,12845.0
400.0,471.0,12837.0
402.0,471.0,12822.0
399.0,470.0,12845.0
400.0,471.0,12837.0
401.0,471.0,12830.0
399.0,470.0,12845.0
400.0,470.0,12837.0
399.0,470.0,12845.0
399.0,470.0,12845.0
401.0,471.0,12829.0
